Country,Region,Happiness Rank,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Unemployment (% age 15plus),Agriculture (% of GDP),Cell phones / 100ppl,Fertility (Children/woman),Corruption Perception Index (CPI),Inflation (annual %),Internet users (%),Military expenditure (% of GDP),Murder /100000 people,Population density /km^2 ,Urban population growth (annual %),Urban population (%),Working hours / week,id
United Arab Emirates,Middle East and Northern Africa,28,6.573,6.494,6.652,1.57352,0.87114,0.72993,0.56215,0.35561,0.26591,2.21507,1.64,0.776,215,1.75,66,-3.2,90.6,,,111,1.59,86,,ARE
Uruguay,Latin America and Caribbean,29,6.545,6.456,6.634,1.18157,1.03143,0.72183,0.54388,0.21394,0.18056,2.67139,7.84,5.89,149,2,71,7.35,66.4,1.88,,19.7,0.466,95.1,,URY
Malta,Western Europe,30,6.488,6.409,6.567,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,1.99032,4.7,1.16,131,1.46,55,1.63,77.3,0.543,,1340,2.36,94.5,38.3,MLT
Colombia,Latin America and Caribbean,31,6.481,6.384,6.578,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626,3.17471,8.69,6.67,121,1.85,37,4.88,58.1,3.07,,43.9,1.31,80.1,43.7,COL
France,Western Europe,32,6.478,6.397,6.559,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,2.4744,10.1,1.45,104,1.98,69,0.181,79.3,2.33,,118,0.728,79.9,36.4,FRA
Thailand,Southeastern Asia,33,6.474,6.396,6.552,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,2.5796,0.688,8.5,174,1.48,35,2.36,47.5,1.44,2.58,135,1.87,48.4,43.2,THA
Saudi Arabia,Middle East and Northern Africa,34,6.379,6.287,6.471,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,2.61482,5.65,2.69,149,2.53,46,-3.05,74.9,9.91,,15,2.52,83.4,,SAU
Taiwan,Eastern Asia,34,6.379,6.305,6.453,1.39729,0.92624,0.79565,0.32377,0.0663,0.25495,2.61523,,,,,,,,,,,,,,TWN
Qatar,Middle East and Northern Africa,36,6.375,6.178,6.572,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388,1.58224,0.14,0.183,142,1.91,61,-9.42,94.3,,,221,3.57,99,50,QAT
Spain,Western Europe,37,6.361,6.288,6.434,1.34253,1.12945,0.87896,0.37545,0.06137,0.17665,2.39663,19.6,2.51,111,1.36,58,0.283,80.6,1.13,,92.9,0.383,79.8,37.3,ESP
Algeria,Middle East and Northern Africa,38,6.355,6.227,6.483,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044,3.40904,10.2,12.3,116,2.78,34,0.89,42.9,6.42,,17,2.68,71.5,,DZA
Guatemala,Latin America and Caribbean,39,6.324,6.213,6.435,0.83454,0.87119,0.54039,0.50379,0.08701,0.28808,3.19863,2.83,10,110,2.97,28,3.7,34.5,0.423,,155,2.7,50.3,43.3,GTM
Suriname,Latin America and Caribbean,40,6.269,6.073,6.465,1.09686,0.77866,0.50933,0.52234,0.12692,0.16665,3.06852,,9.33,145,2.37,45,30.5,45.4,,,3.58,0.904,66,,SUR
Kuwait,Middle East and Northern Africa,41,6.239,6.154,6.324,1.61714,0.87758,0.63569,0.43166,0.23669,0.15965,2.28085,2.16,0.568,133,1.97,41,-6.13,78.4,5.84,,227,2.92,100,,KWT
Bahrain,Middle East and Northern Africa,42,6.218,6.128,6.308,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147,2.27405,,0.333,210,2.03,43,0.0805,98,4.73,,1880,3.92,89.1,,BHR
